timestamp,bus,can_id,payload
1780704573.416492,vcan0,7D0,00000000
1780704573.416513,vcan0,606,00
1780704573.448456,vcan0,00A,00000000
1780704573.464474,vcan0,7D1,7F000000
1780704573.480465,vcan0,00A,00000000
1780704573.512462,vcan0,00A,00000000
1780704573.544453,vcan0,00A,00000000
1780704573.576457,vcan0,00A,00000000
1780704573.593513,vcan0,603,00
1780704573.593563,vcan0,604,00
1780704573.593592,vcan0,607,00000000
1780704573.609451,vcan0,00A,00000000
1780704573.641609,vcan0,00A,00000000
1780704573.673547,vcan0,00A,00000000
1780704573.705513,vcan0,00A,00000000
1780704573.721566,vcan0,7D1,7F000000
1780704573.737523,vcan0,00A,00000000
1780704573.768503,vcan0,00A,00000000
1780704573.800530,vcan0,00A,00000000
1780704573.800587,vcan0,603,00
1780704573.800610,vcan0,604,00
1780704573.800630,vcan0,607,00000000
1780704573.832486,vcan0,00A,00000000
1780704573.864464,vcan0,00A,00000000
1780704573.896476,vcan0,00A,00000000
1780704573.928474,vcan0,00A,00000000
1780704573.928515,vcan0,7D0,00000000
1780704573.928537,vcan0,606,00
1780704573.960466,vcan0,00A,00000000
1780704573.976439,vcan0,7D1,7F000000
1780704573.992477,vcan0,00A,00000000
1780704574.008444,vcan0,603,00
1780704574.008476,vcan0,604,00
1780704574.008501,vcan0,607,00000000
1780704574.024458,vcan0,00A,00000000
1780704574.056521,vcan0,00A,00000000
1780704574.088554,vcan0,00A,00000000
1780704574.120499,vcan0,00A,00000000
1780704574.152496,vcan0,00A,00000000
1780704574.184488,vcan0,00A,00000000
1780704574.216453,vcan0,00A,00000000
1780704574.216485,vcan0,603,00
1780704574.216504,vcan0,604,00
1780704574.216521,vcan0,607,00000000
1780704574.232452,vcan0,7D1,7F000000
1780704574.248646,vcan0,00A,00000000
1780704574.280488,vcan0,00A,00000000
1780704574.312458,vcan0,00A,00000000
1780704574.344452,vcan0,00A,00000000
1780704574.376443,vcan0,00A,00000000
1780704574.408443,vcan0,00A,00000000
1780704574.424455,vcan0,603,00
1780704574.424484,vcan0,604,00
1780704574.424504,vcan0,607,00000000
1780704574.440535,vcan0,00A,00000000
1780704574.440560,vcan0,7D0,00000000
1780704574.440579,vcan0,606,00
1780704574.472444,vcan0,00A,00000000
1780704574.488455,vcan0,7D1,7F000000
1780704574.504433,vcan0,00A,00000000
1780704574.536445,vcan0,00A,00000000
1780704574.568452,vcan0,00A,00000000
1780704574.601440,vcan0,00A,00000000
1780704574.633447,vcan0,00A,00000000
1780704574.633479,vcan0,603,00
1780704574.633497,vcan0,604,00
1780704574.633514,vcan0,607,00000000
1780704574.665496,vcan0,00A,19000000
1780704574.697457,vcan0,00A,4C000000
1780704574.729448,vcan0,00A,7F000000
1780704574.745606,vcan0,7D1,7F000000
1780704574.761454,vcan0,00A,B2000000
1780704574.792470,vcan0,00A,E5000000
1780704574.824453,vcan0,00A,FF000000
1780704574.840446,vcan0,603,00
1780704574.840477,vcan0,604,00
1780704574.840496,vcan0,607,00000000
1780704574.856467,vcan0,00A,FF000000
1780704574.888458,vcan0,00A,FF000000
1780704574.920460,vcan0,00A,FF000000
1780704574.952445,vcan0,00A,FF000000
1780704574.952475,vcan0,7D0,00000000
1780704574.952495,vcan0,606,00
1780704574.984450,vcan0,00A,FF000000
1780704575.000458,vcan0,7D1,7F000000
1780704575.016460,vcan0,00A,FF000000
1780704575.048478,vcan0,00A,FF000000
1780704575.048522,vcan0,603,00
1780704575.048540,vcan0,604,00
1780704575.048558,vcan0,607,00000000
1780704575.080463,vcan0,00A,FF000000
1780704575.112449,vcan0,00A,FF000000
1780704575.144480,vcan0,00A,FF000000
1780704575.176454,vcan0,00A,FF000000
1780704575.208458,vcan0,00A,FF000000
1780704575.240525,vcan0,00A,FF000000
1780704575.256442,vcan0,7D1,7F000000
1780704575.256471,vcan0,603,00
1780704575.256489,vcan0,604,00
1780704575.256506,vcan0,607,00000000
1780704575.272464,vcan0,00A,FF000000
1780704575.304471,vcan0,00A,FF000000
1780704575.336465,vcan0,00A,FF000000
1780704575.368462,vcan0,00A,FF000000
1780704575.400464,vcan0,00A,FF000000
1780704575.432462,vcan0,00A,FF000000
1780704575.464452,vcan0,00A,FF000000
1780704575.464480,vcan0,7D0,00000000
1780704575.464499,vcan0,603,00
1780704575.464515,vcan0,604,00
1780704575.464530,vcan0,606,00
1780704575.464546,vcan0,607,00000000
